full_tatiana_demaria_lyrics
song,lyrics
What It Is About You,"You look so pretty with your guilt free heart
Lying in bed next to you
A thousand and one thoughts
To put you through
Not one of them passed my lips
A silent love I had
My heart knew I wouldn't be back again
My head battled reason
Only to give in
It don't mean I let you go so easily
Or watch you now
With ease you see
I must remember to forget you
Must remember to forget you
Well you look so pretty
With your guilt free heart
Smiling like you mean it
I want to tear you apart
And I don't know
What it is about you
You look so pretty
With your guilt free heart
Perfect damn life
I want to tear it apart
And I don't know
What it is about you
She suits you beautifully
Like you suit her beautifully
And when you fuck
I know you think of me
Well isn't this what you wanted?
You swallowed me whole
And drowned me out
With bottles and lovers
And time's steady hand well
Isn't this what you wanted yeah?
I must remember to forget you
Must remember to forget you
Well you look so pretty
With your guilt free heart
Smiling like you mean it
I want to tear you apart
And I don't know
What it is about you
You look so pretty
With your guilt free heart
Perfect damn life
I want to tear it apart
And I don't know
What it is about you
I see the cracks form in your smile
I see your lacklustre desire
I won't lie it's the grace
I needed to get up
To watch you reach for a higher level
So high you're far too short to reach
From the others
Packed between the sheets
Of the others born with straight lovers
Lucky fuckers
Who were born straighter than others
So high you're far too short to reach
Well you look so pretty
With your guilt free heart
Smiling like you mean it
I want to tear you apart
And I don't know
What it is about you
Well you look so pretty
With your guilt free heart
Smiling like you mean it
I want to tear you apart
And I don't know
What it is about you
You look so pretty
With your guilt free heart
Perfect fucking life
I want to tear it apart
And I don't know
What it is about you"
London Don’t Lie,"If there's poison in this cup
She still offers it up
Then she tells me it's your life
And darling it's your luck
Ain't so desperate to be liked
Or to be loved
Ain't craved a validating mind
She don't need your love
London don't lie
London don't lie
London don't lie
Don't lie, no no
She don't dress the ugly truth
To make her white teeth shine
She don't lull me in a fire
And tell me I'll be fine
She pulls back the curtain clears the smoke and shows me
A mirror standing clear to see myself the way she sees
London don't lie
London don't lie
London don't lie
Don't lie, no no
London don't lie
Don't waste my high
London don't lie
No don't lie no no
She swallows the unsteady and spits you out
Grab at you already, destroy your clout
'Cos you're unsteady, you're a little unsteady
Little unsteady, you're a little unsteady
Won't tell you that she love you in all your light
She smells the fear on you dressed up to the nines
But you're unsteady, you're a little unsteady
Little unsteady, you're a little unsteady
Oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh
I've seen the smiling faces
Trading places, I just don't buy
I've tasted lust and fucked the words
The feigning wise impart
I've walked the earth in search of something I was looking for
Only to come home and find my heart beat in her arms
London don't lie
London don't lie
London don't lie
Don't lie, no no
London don't lie
Don't waste my high
London don't lie
No don't lie no no
She swallows the unsteady and spits you out
Grab at you already, destroy your clout
'Cos you're a...
You're a little unsteady steady
You're a little unsteady steady
Won't tell you that she loves you in all your light
She smells the fear on you dressed up to the nines
But you're a...
You're a little unsteady steady
You're a little unsteady"
Too Much,"Too much it ties me up and I can't sleep
Too much it ties me up and I can't sleep
Too much it ties me up
Got a little bit older
Got a little bit bolder
Got a little more drugs than I should
Every empty bottle around me drowning sorrow
'Til it learnt to swim
Trying to quiet these fires and pull the tide in
But my heart burns still
'Cos I am what I am
And you are what you are
We'll remain who we are
And this is how we'll scar
'Cos I am what I am
You created a monster
I'm out to get loud
And this is how I scar
If there's a cure for this
Hell, I don't want it
If there's sanity in peace well I'll just keep running
My heart speaks louder and she says
I am what I am
Still
Too much it ties me up and I can't sleep
Too much it ties me up and I can't sleep
Too much it ties me up
Got a little bit older
Got a little bit bolder
Got a little more drugs than I should
Regret is the bastard son of weakness
I'm out to abort
Won't be blaming my failures
On the demons
That live in my thoughts
'Cos my heart beats still
And my blood runs ill
They tried to censor a pair of my lips
But I am what I am
You created a monster
I'm out to get loud
And this is how I'll scar
If there's a cure for this
Well I don't want it
If there's sanity in peace well I'll just keep running
The light tinted lime ain't pulling me in
'Cos I am what I am
Still
Too much it ties me up and I can't sleep
Too much it ties me up and I can't sleep
Too much it ties me up
Got a little bit older
Got a little bit bolder
Got a little more drugs than I should
The idle mind is the home of the devil
Who falls in love with the cause free rebel
Caught on the leash of a dying decree
No I won't let go
I am what I am no you won't see double
Come rain or shine just too damn stubborn
Bite this damn bullet in half and swallow it
I am what I am
It's not oceans or time zones or circumstance
Or plans it's the feeling you lack on the part of your heart
It's the soul that I ain't touched
That I never will
You're the one not forgotten
If there's a cure for this
Well I don't want it
If there's sanity in peace well I'll just keep running
The light tinted lime ain't pulling me in
'Cos I am what I am
Still
Too much it ties me up and I can't sleep
Too much it ties me up and I can't sleep
Too much it ties me up
Too much it ties me up
Still
Too much it ties me up and I can't sleep
Too much it ties me up and I can't sleep
Too much it ties me up
Got a little bit older
Got a little bit bolder
Got a little more drugs than I should"
Without You,"I keep my distance
A short message
To let you know
I still feel it
I keep my distance
A short message
To let you know
I still feel it
It’s been long enough that writing this is reminiscing
No I’m not looking and I’m not sure how you’re living
I kept my distance it don’t mean that I forget
Just a short message now to tell you
Let you know that I still feel it
There’s too much to say in too little time
Too much to say in too little time
Got it to say man you on my mind
Got it to say now you on my
It’s been a long life
Chasing the good life
It’s been a long life
Chasing the good life oh
But see without you it means nothing
Without you it means nothing
It’s been a long life
Chasing the good life
It’s been a long life
Chasing the good unknown
But see without you it means nothing
Without you it means nothing
Without you it means nothing
I read the book you got me
A stone for every moment
The dull taste of absence
It lingers on my tongue
Too self aware to rely on substance
I’ll take the long road
I could use a challenge
Never present
Conscious of always missing something
The taste fades
Living is something that happens later
This girl thinks she’s playing me fuck it let her have it
The memory’s still waiting for me in the silence
It’s been a long life
Chasing the good life
It’s been a long life
Chasing the good life oh
But see without you it means nothing
Without you it means nothing
It’s been a long life
Chasing the good life
It’s been a long life
Chasing the good unknown
But see without you it means nothing
Without you it means nothing
Without you it means nothing
The taste has left my buds
The two step beating of my heart done
Waiting so patiently for my eyes to come and
Carve up you
It’s amazing how different it is
When you ain’t got the heart to think about it
Expected nothing less than I gave but instead you got up
Perfected the art of grace in the spaces left between us
It’s amazing how different it is
When you ain’t got the heart to think about it
I keep my distance
A short message to let you know I still feel it
I keep my distance
A short message to let you know
It’s been a long life
Chasing the good life
It’s been a long life
Chasing the good life oh
But see without you it means nothing
Without you it means nothing
It’s been a long life
Chasing the good life
(You have got full real estate of my heart)
It’s been a long life
Chasing the good unknown
But see without you it means nothing
(Tell me is love not is enough now?)
Without you it means nothing
Without you it means nothing
I’ve got you for life
Full real estate of my heart
Big powers on ice
You built parks and flowers
And carved out lakes and rivers
In the deserts an oasis, a respite
If I could sink into the sound of your voice for the night"
Make Me Feel,"You know I want you
With your legs wrapped around my waist
I could have loved you
Like nobody else
But you're trying to play your hand
At a game that I'd abandoned
Dragged it out for far too long
Til I'm wondering how it started
I won't even walk out
Caught here
Still man I can't stand the taste
I ain't even on ya
Caught in
Caught in the thrill of the chase
'Cos you make me feel
You make me feel
Make me Feel
I like to sleep here
In the blackout curtains blind
Falling in deep here
High above the city lights
Met you in a hotel bar
This'd be fun for a night
But I keep walking through that door
And coming out on the same side
I won't even walk out
Caught here
Still man I can't stand the taste
I ain't even on ya
Caught in
Caught in the thrill of the chase
'Cos you make me feel
You make me feel
Make me Feel
Posted up and I'm all in
Posted up and I'm all in
I've done better drugs
I've had stronger love
I've had dirty lust
That we just don't touch
Darling this ain't love
But it's potent lust
And it's just enough
To keep me hooked
Want the interrupt
The unorthodox
Want the self inflicted
Mass chaos
You're not one to trust
Still you got me caught
Between my weakened heart
And the tip of your tongue
I want to hold you
But not for the rest of my life
I want to own you
Because my jealousy is rife
Darling if you're not by my side
You must be fucking someone else
I knew I hadn't met my match
Look at how I played myself
I won't even walk out
Caught here
Still man I can't stand the taste
I ain't even on ya
Caught in
Caught in the thrill of the chase
And you make me feel
You make me feel
You make me feel
Posted up and I'm all in
Posted up and I'm all in"
Anxiety - Acoustic,"Call came from the darkest parts of your mind
Your doubt, your guilt, like reconnaissance finds
Your weakness so easily
Your knees fold like a repenting priest
A wildfire burning every inch of your skin
So close your eyes, hold on tight
And you can burn the light
Yeah, you can burn the light
Darkness, shines bright
Self-destruct, a blinding light that I can't fight no
You're not the one who'll be saved
I hear the voices saying
It's more than I can take
Anxiety, anxiety
C'mon and try and shake it
I race I pace I'm breaking
Control won't let me give in
Anxiety, anxiety
A cold rush, it bursts through your veins
A cry for help, no one will hear a thing
Still a scream, until my lungs sing
Your hope disbands you and leaves you stranded so
Convinced you've reached the end of the world
Here cotton cased will keep you safe from all you know
Keep you safe from all you
Keep you safe from all you
You can burn the light
Yeah, you can burn the light
Darkness, shines bright
Self-destruct, a blinding light that I can't fight no
You're not the one who'll be saved
I hear the voices saying
It's more than I can take
Anxiety, anxiety
C'mon and try and shake it
I race I pace I'm breaking
Control won't let me give in
Anxiety, anxiety
Your heart beats, so loud says
It wants out don't give in now
You start to confess your sins hoping for redemption
On your knees you're praying to a God you never believed in
You'd give it up, give it all up to make it out alive
You're not the one who'll be saved
I hear the voices saying
It's more than I can take
Anxiety, anxiety
C'mon and try and shake it
I race I pace I'm breaking
Control won't let me give in
Anxiety, Anxiety"
You make me ,"You, You Make Me
You, You Make Me
You, You Make Me
You, You Make Me


Fallen too deep 
Trying to swim 
The current to steep and it’s pulling me in 
I can breathe 
Both hands around my heart 
My heart 

I can still feel 
The heat on your skin 
My lips are begging to pull you in 
I can breathe 
your hands around my heart 
My heart 


I’mma hold the the door 
For you there ain’t no cure 
I know 
That I could wait a life 
And still find you on both sides 
And we’d be right back here 

(On both sides) 

You, You Make Me
You, You Make Me
You, You Make Me
Both hands round my heart, my heart
You, You Make Me
Both hands round my heart, I’m yours


Fallen too deep 
Trying to swim 
The current to steep and it’s pulling me in 
I can breathe 
Both hands around my heart 
My heart 

I can still feel 
The heat on your skin 
My lips are begging to pull you in 
I can breathe 
your hands around my heart 
My heart 


I’mma hold the the door 
For you there ain’t no cure 
I know 
That I could wait a life 
And still find you on both sides 
And we’d be right back here 

(On both sides)

You, You Make Me
You, You Make Me
You, You Make Me
Both hands round my heart, my heart
You, You Make Me
Both hands round my heart, I’m yours"
Save Me ,"With your hand on my hips 
God only knows where this will take us 
And the little whit pretty 
Sits patiently waiting in the palm of my hand 

It’s been a long time coming 
God only knows 
It’s been a long time coming 
Yeah 
It’s been a long time coming 
God only knows 
It’s been a long time 

You’ll be waiting for someone to save you 
You’re still waiting for someone to save you 
Yeah You’re waiting for someone to save you 
You’re still waiting for someone to save you 

I feel your fingertips slip 
As my Palm touches my lips 
You see you just ain’t enough 
When you’re scared, shit scared of my fears 

It’s been a long time coming 
God only knows 
It’s been a long time coming 
Yeah 
It’s been a long time coming 
God only knows 
It’s been a long time 


You’ll be waiting for someone to save you 
You’re still waiting for someone to save you 
Yeah You’re waiting for someone to save you 
You’re still waiting for someone to save you 


Oooh Oooh Ooooh 
Oooh Oooh Ooooh 
Oooh Oooh Ooooh 
Yeah 
Oooh Oooh Ooooh 
Oooh Oooh Ooooh 
Oooh Oooh Ooooh 
Yeah 


You’ll be waiting for someone to save you 
You’re still waiting for someone to save you 
Yeah You’re waiting for someone to save you 
You’re still waiting for someone to save you 

I’ll be waiting for someone to Save Me 
I’m Still Waiting for someone to save me 
Yeah I’m waiting for someone to Save Me 
I’m still waiting for someone"
Born Again Sinner,"
INTRO TAG
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah Ah resurrect call the bishop 
I’m a born again sinner 

INTRO CHORUS
A Sliver still delivers 
Like the liquor through the liver 
You’re a rush to the veins 
Like my blood is getting thinner 
I’m higher than I’ve ever been 
And falling even quicker
Resurrect call the Bishop 
I’m a born again sinner


VERSE 1
Have to learn how to take my time 
Insatiable, tempt me yeah you know I just might 
Adam’s got an extra rib, 
Nothing short of prime 
I’ll wear you like lunch 
’Til the sun don’t shine 

Come on be cruel 
It’s in your eyes 
Got it to use 
energy don’t lie 
Something to prove 
Grade you right 
Babe I won’t leave til I done done done your right



CHORUS 2
A Sliver still delivers 
Like the liquor through the liver 
You’re a rush to the veins 
Like my blood is getting thinner 
I’m higher than I’ve ever been 
And falling even quicker
Resurrect call the devil
I’m a born again sinner

Your lips like butter 
You’re dripping off my collar
And your hands around my waist 
I set the mood you set the color
And I’m higher than I’ve even seen 
My mind is in the gutter 
Resurrect call the Bishop
I’m a born again sinner


TAG 2
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah Ah resurrect call the bishop 
I’m a born again sinner 


VERSE 2
Say it You call it 
Well you can get it I’m a ride up and 
lay it on 18 I’m going all in swinging bet 
I’m right here when you’re ripe to place and time 
And call it savage 
And time is all I need 
I ain’t shy I’m serving set

At your church I worship 
Shine a light on me 
Brown eyed girl got me on my knees
At your church i’l pray 
Shine a light on me 
Shine a light on 


CHORUS 2
A Sliver still delivers 
Like the liquor through the liver 
You’re a rush to the veins 
Like my blood is getting thinner 
I’m higher than I’ve ever been 
And falling even quicker
Resurrect call the devil
I’m a born again sinner

Your lips like butter 
You’re dripping off my collar
And your hands around my waist 
I set the mood you set the color
And I’m higher than I’ve even seen 
My mind is in the gutter 
Resurrect call the Bishop
I’m a born again sinner


TAG 2 WITH OUTRO VERSE TWO LYRICS 
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah ah yeah ah yeah 
Ah yeah Ah resurrect call the bishop 
I’m a born again sinner 

At your church I worship 
Shine a light on me 
Brown eyed girl got me on my knees
At your church i’l pray 
Shine a light on me 
Shine a light on 


"
AWS ,"AWS Lyrics


Verse 1: 
the smell of patchouli 
draped around your neck 
enough to pull me in 
and i'm blind in unrest 
adrenaline creeps in 
so quick to squash it 
god forbid 
you might actually feel something 
when lust is cheap and love is overpriced 
reaching for a crutch 
and I'm tightening the vice 

Pre chorus 1: 
cos there's no sin 
original enough 
ill admit 
between connection and lust 
being inside someone else 
is the closest thing to love 

Chorus 1: 
what's next 
alcohol weed or sex 
a quick fix 
alpha don't need no vex 
what's next alcohol greed or sex 
what's next
alcohol weed or - 


Chorus tag 1:
I finally found my way into my mind 
now I need a way out 


Verse 2: 
I miss the music that makes me 
wanna fight fuck 
wear a leather jacket 
a penny for your ague 
a split for your thoughts 
I wanna wile out 
wanna swing blind 
wanna feel something 
fuck it's been a long time
Facebook give me hugs 
twitter give me love 
inset make me come 
tinder get me - 
stock car pile up on the edge of my lips 
fire in my gut still I ain't said shit 
expectation 
killing innovation 
short attention span 
who the fuck is patience? 
a stripper from a club 
that had a three way with cadence 
who gives a fuck now? 
i'm already sedated? 

Pre Chorus 2: 
and there's no sin 
original enough 
ill admit 
I'm addicted to lust 
being in side someone else 
is the closest thing to love 
to love 
yeah and 


Chorus 2: 
what's next 
alcohol weed or sex 
a quick fix 
alpha don't need no vex 
what's next alcohol greed or sex 
what's next
alcohol weed or - 


Chorus tag 2:
I finally found my way into my mind 
now I need a way out 
I finally found my way into my mind 
now I need a way out 


Middle 8: 
when does hate
hate turn to love and tell me 
when did sheep 
teach man to run and tell me 
when does hate 
hate turn to love and tell me 
when did sheep teach man to run 


Verse 3: 
the night before she died 
I was supposed to see her 
went to support my bro instead 
cos he was teaching 
she called and asked about me 
and we talked for an hour 
talked about some recipes 
shit, I barely listened 
I was too caught up on some shit 
I was chasing and didn't get yet 
I was too caught up on some shit 
I was chasing and didn't get 
you never know when it's the last moment 
that you might get 
man i's too caught up on some shit 
I was chasing and didn't get 


Last pre: 
and there's no sin original enough
I'll admit 
to bury the loss
and i'm tired of running 
tired of running 
I'm tired of running 
ah such resistance 


Outro: 
tired of running 
I'm tired of running 
tired of running 
I'm tired of running
ah such resistance 


outro vamp: 
headlights
white lines
black lines 
white lies
white lines 
highlines
strobe lights 
night lights 
turn off the lights 


 "
