song_id,artist,song,tier
4402,Clash,Look Here,0
4654,Wiz Khalifa,Most Of Us,0
3708,Morrissey,The Father Who Must Be Killed,0
3699,Ramones,Chasing The Night,0
3737,Def Leppard,Ring Of Fire,0
4147,Queens Of The Stone Age,I Appear Missing,0
4349,Ellie Goulding,Goodness Gracious,0
4027,Garth Brooks,Wolves,0
4558,Cinderella,Talk Is Cheap,0
3545,Olly Murs,Did You Miss Me,0
4174,Megadeth,Never Dead,0
4718,Meat Loaf,A Time For Heroes,0
3998,King Crimson,Pictures Of A City,0
4668,Backstreet Boys,Beautiful Woman,0
3356,Grateful Dead,Blow Away,0
4554,Paul McCartney,Get Yourself Another Fool,0
4777,Thin Lizzy,We Will Be Strong,0
3893,Depeche Mode,Welcome To My World,0
3719,George Jones,Borrowed Angel,0
3337,Wishbone Ash,She Was My Best Friend,0
4485,Perry Como,C-h-r-i-s-t-m-a-s,0
4414,Christina Perri,One Night,0
4476,Jason Mraz,The Beauty In Ugly,0
4535,Natalie Grant,When You Walked Into My Life,0
4705,Stevie Wonder,I Go Sailing,0
3718,Pretenders,When I Change My Life,0
4738,Nightwish,Yours Is An Empty Hope,0
4756,Joni Mitchell,Court And Spark,0
4520,Ian Hunter,Boy,0
4567,Josh Groban,Mi Morena,0
4371,Jackson Browne,Someday Morning,0
3896,Joni Mitchell,The Arrangement,0
4570,Olivia Newton-John,Take A Chance,0
4327,Virgin Steele,A Whisper Of Death,0
3506,Iron Maiden,Iron Maiden,0
3625,Jose Mari Chan,Please Be Careful With My Heart,0
3709,Fleetwood Mac,No Questions Asked,0
3714,Slayer,Necrophobic,0
4391,Toto,Good For You,0
3362,Vanessa Williams,Midnight Blue,0
4677,Incognito,If You Want My Love,0
3725,Nick Cave,Carry Me,0
4622,Grateful Dead,Let Me Sing Your Blues Away,0
4150,John Prine,I Had A Dream,0
4366,Natalie Cole,Until The Real Thing Comes Along,0
3640,George Michael,Back To Life,0
3651,Rolling Stones,Fortune Teller,0
3595,Face To Face,No Authority,0
4022,Linkin Park,White Noise,0
4284,Hillsong United,I Surrender,0
2566,Drake,Jumbotron Shit Poppin,1
334,twenty one pilots,Jumpsuit,1
2644,Future & Metro Boomin,Fried (She A Vibe),1
121,B.o.B Featuring 2 Chainz,HeadBand,1
405,Tessanne Chin,I Have Nothing,1
873,Justin Moore,Somebody Else Will,1
758,Polo G,Epidemic,1
431,"Tainy, Bad Bunny & Julieta Venegas",Lo Siento BB:/,1
403,Travis Scott,NC-17,1
88,Bad Bunny,Un Preview,1
1186,Beyonce,Heated,1
1549,Kendrick Lamar,Meet The Grahams,1
1111,YoungBoy Never Broke Again,Nevada,1
639,Zach Bryan,Oak Island,1
3178,Drake,When To Say When,1
2943,Post Malone Featuring Jelly Roll,Losers,1
1247,Taylor Swift,'Tis The Damn Season,1
2558,Lil Tjay,In My Head,1
486,Drake & Future,Diamonds Dancing,1
2177,Lil Baby,Detox,1
468,Chance The Rapper Featuring MadeinTYO & DaBaby,Hot Shower,1
756,Drake Featuring Static Major & Ty Dolla $ign,After Dark,1
2101,Kanye West Featuring Paul McCartney,Only One,1
493,Nipsey Hussle & JAY-Z,What It Feels Like,1
2202,Billie Eilish,The Diner,1
2364,Prince,1999,1
1193,Post Malone,What Don't Belong To Me,1
1113,One Direction,Best Song Ever,1
3267,Sabrina Carpenter,Sharpest Tool,1
445,BTS Featuring Halsey,Boy With Luv,1
2646,Drake,7am On Bridle Path,1
3093,Kendrick Lamar,The Heart Part 5,1
1044,"Migos, Young Thug & Travis Scott",g n f (Give No Fxk),1
813,N.W.A,Straight Outta Compton,1
2055,Eminem Featuring Ed Sheeran,Those Kinda Nights,1
1357,Young Thug Featuring Drake,Parade On Cleveland,1
2164,Sada Baby Featuring Nicki Minaj,Whole Lotta Choppas,1
2708,Future Featuring YoungBoy Never Broke Again,Trillionaire,1
91,Lil Wayne,Open Letter,1
1381,Loza Alexander,Lets Go Brandon,1
297,Rod Wave,SoulFly,1
2303,Zach Bryan,Fear And Friday's,1
1537,21 Savage & Doja Cat,N.H.I.E.,1
1376,Taylor Swift,Vigilante Shit,1
643,Post Malone,Reputation,1
470,21 Savage & Metro Boomin,Brand New Draco,1
1852,21 Savage & Metro Boomin Featuring Young Thug,Rich N*gga Sh*t,1
1061,YoungBoy Never Broke Again,On My Side,1
940,Luke Combs,Growin' Up And Gettin' Old,1
2934,Drake,Survival,1
3027,Katy Perry,This Is How We Do,2
116,French Montana Featuring Drake,No Shopping,2
834,Don Toliver,Bandit,2
1254,"Dierks Bentley, Breland & HARDY",Beers On Me,2
2282,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You,2
1652,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,2
133,Jelly Roll,Halfway To Hell,2
976,Dua Lipa,Love Again,2
1676,Aventura x Bad Bunny,Volvi,2
1414,Thomas Rhett,Country Again,2
3265,Selena Gomez Featuring Gucci Mane,Fetish,2
974,Rae Sremmurd,Come Get Her,2
437,Foster The People,Sit Next To Me,2
2962,Miley Cyrus,Adore You,2
193,Lil Uzi Vert,Money Longer,2
234,Nate Smith,Whiskey On You,2
213,Tiesto & Ava Max,The Motto,2
2348,Trippie Redd & Playboi Carti,Miss The Rage,2
494,Kane Brown X blackbear,Memory,2
1059,Carrie Underwood,Little Toy Guns,2
2022,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",23,2
1565,Sabrina Carpenter,Juno,2
1287,21 Savage & Metro Boomin,No Heart,2
192,Fetty Wap,Wake Up,2
173,Demi Lovato,Let It Go,2
652,Scotty McCreery,You Time,2
244,Drake & Future,Big Rings,2
2280,Bizarrap & Peso Pluma,"Bzrp Music Sessions, Vol. 55",2
1117,Sam Hunt,23,2
3162,Dua Lipa,Training Season,2
953,YG Featuring Drake,Who Do You Love?,2
