song_title,song_clean,artist,lyrics_found,viral_prob,viral_line,viral_section,viral_repeats,viral_why,runner_up_line,runner_up_prob,lyrics
'Beirut Fire',Beirut Fire,Tatiana DeMaria,False,,,,,,,,
Anxiety,Anxiety,Tatiana DeMaria,False,,,,,,,,
Make Me Feel,Make Me Feel,Tatiana DeMaria,True,0.9903,Caught here,to keep me hooked,3.0,"repeats 3×, in chorus/hook section",I ain't even on ya,0.9882,"1 ContributorMake Me Feel LyricsYou know I want you
With your legs wrapped around my waist
I could have loved you
Like nobody else
But you're trying to play your hand
At a game that I'd abandoned
Dragged it out for far too long
Til I'm wondering how it started

I won't even walk out
Caught here
Still man I can't stand the taste
I ain't even on ya
Caught in
Caught in the thrill of the chase

'Cos you make me feel
You make me feel
Make me Feel

I like to sleep here
In the blackout curtains blind
Falling in deep here
High above the city lights
Met you in a hotel bar
This'd be fun for a night
But I keep walking through that door
And coming out on the same side


I won't even walk out
Caught here
Still man I can't stand the taste
I ain't even on ya
Caught in
Caught in the thrill of the chase

'Cos you make me feel
You make me feel
Make me Feel

Posted up and I'm all in
Posted up and I'm all in

I've done better drugs
I've had stronger love
I've had dirty lust
That we just don't touch

Darling this ain't love
But it's potent lust
And it's just enough
To keep me hooked

Want the interrupt
The unorthodox
Want the self inflicted
Mass chaos


You're not one to trust
Still you got me caught
Between my weakened heart
And the tip of your tongue

I want to hold you
But not for the rest of my life
I want to own you
Because my jealousy is rife
Darling if you're not by my side
You must be fucking someone else
I knew I hadn't met my match
Look at how I played myself

I won't even walk out
Caught here
Still man I can't stand the taste
I ain't even on ya
Caught in
Caught in the thrill of the chase

And you make me feel
You make me feel
You make me feel

Posted up and I'm all in
Posted up and I'm all in"
Guilt Free Heart (Acoustic),Guilt Free Heart (Acoustic),Tatiana DeMaria,False,,,,,,,,
'Save Me',Save Me,Tatiana DeMaria,False,,,,,,,,
'Make Me Feel' Official Audio,Make Me Feel,Tatiana DeMaria,True,0.9903,Caught here,to keep me hooked,3.0,"repeats 3×, in chorus/hook section",I ain't even on ya,0.9882,"1 ContributorMake Me Feel LyricsYou know I want you
With your legs wrapped around my waist
I could have loved you
Like nobody else
But you're trying to play your hand
At a game that I'd abandoned
Dragged it out for far too long
Til I'm wondering how it started

I won't even walk out
Caught here
Still man I can't stand the taste
I ain't even on ya
Caught in
Caught in the thrill of the chase

'Cos you make me feel
You make me feel
Make me Feel

I like to sleep here
In the blackout curtains blind
Falling in deep here
High above the city lights
Met you in a hotel bar
This'd be fun for a night
But I keep walking through that door
And coming out on the same side


I won't even walk out
Caught here
Still man I can't stand the taste
I ain't even on ya
Caught in
Caught in the thrill of the chase

'Cos you make me feel
You make me feel
Make me Feel

Posted up and I'm all in
Posted up and I'm all in

I've done better drugs
I've had stronger love
I've had dirty lust
That we just don't touch

Darling this ain't love
But it's potent lust
And it's just enough
To keep me hooked

Want the interrupt
The unorthodox
Want the self inflicted
Mass chaos


You're not one to trust
Still you got me caught
Between my weakened heart
And the tip of your tongue

I want to hold you
But not for the rest of my life
I want to own you
Because my jealousy is rife
Darling if you're not by my side
You must be fucking someone else
I knew I hadn't met my match
Look at how I played myself

I won't even walk out
Caught here
Still man I can't stand the taste
I ain't even on ya
Caught in
Caught in the thrill of the chase

And you make me feel
You make me feel
You make me feel

Posted up and I'm all in
Posted up and I'm all in"
'Without You' Official Audio,Without You,Tatiana DeMaria,True,0.994,But see without you it means nothing,intro,6.0,"repeats 6×, rhymes, perfect length, in chorus/hook section",Chasing the good life,0.9935,"1 ContributorWithout You LyricsI keep my distance
A short message
To let you know
I still feel it

I keep my distance
A short message
To let you know
I still feel it

It’s been long enough that writing this is reminiscing
No I’m not looking and I’m not sure how you’re living
I kept my distance it don’t mean that I forget
Just a short message now to tell you
Let you know that I still feel it

There’s too much to say in too little time
Too much to say in too little time
Got it to say man you on my mind
Got it to say now you on my

It’s been a long life
Chasing the good life
It’s been a long life
Chasing the good life oh
But see without you it means nothing
Without you it means nothing


It’s been a long life
Chasing the good life
It’s been a long life
Chasing the good unknown
But see without you it means nothing
Without you it means nothing
Without you it means nothing

I read the book you got me
A stone for every moment
The dull taste of absence
It lingers on my tongue
Too self aware to rely on substance
I’ll take the long road
I could use a challenge
Never present
Conscious of always missing something
The taste fades
Living is something that happens later
This girl thinks she’s playing me fuck it let her have it
The memory’s still waiting for me in the silence

It’s been a long life
Chasing the good life
It’s been a long life
Chasing the good life oh
But see without you it means nothing
Without you it means nothing


It’s been a long life
Chasing the good life
It’s been a long life
Chasing the good unknown
But see without you it means nothing
Without you it means nothing
Without you it means nothing

The taste has left my buds
The two step beating of my heart done
Waiting so patiently for my eyes to come and
Carve up you
It’s amazing how different it is
When you ain’t got the heart to think about it

Expected nothing less than I gave but instead you got up
Perfected the art of grace in the spaces left between us
It’s amazing how different it is
When you ain’t got the heart to think about it

I keep my distance
A short message to let you know I still feel it
I keep my distance
A short message to let you know

It’s been a long life
Chasing the good life
It’s been a long life
Chasing the good life oh
But see without you it means nothing
Without you it means nothing


It’s been a long life
Chasing the good life
(You have got full real estate of my heart)
It’s been a long life
Chasing the good unknown
But see without you it means nothing
(Tell me is love not is enough now?)
Without you it means nothing
Without you it means nothing

I’ve got you for life
Full real estate of my heart
Big powers on ice
You built parks and flowers
And carved out lakes and rivers
In the deserts an oasis, a respite
If I could sink into the sound of your voice for the night"
London Don't Lie,London Don't Lie,Tatiana DeMaria,True,0.9645,No don't lie no no,intro,2.0,"perfect length, emotional, in chorus/hook section",London don't lie,0.9604,"3 ContributorsLondon Don’t Lie LyricsIf there's poison in this cup
She still offers it up
Then she tells me it's your life
And darling it's your luck
Ain't so desperate to be liked
Or to be loved
Ain't craved a validating mind
She don't need your love

London don't lie
London don't lie
London don't lie
Don't lie, no no

She don't dress the ugly truth
To make her white teeth shine
She don't lull me in a fire
And tell me I'll be fine
She pulls back the curtain clears the smoke and shows me
A mirror standing clear to see myself the way she sees

London don't lie
London don't lie
London don't lie
Don't lie, no no
London don't lie
Don't waste my high
London don't lie
No don't lie no no


She swallows the unsteady and spits you out
Grab at you already, destroy your clout
'Cos you're unsteady, you're a little unsteady
Little unsteady, you're a little unsteady

Won't tell you that she love you in all your light
She smells the fear on you dressed up to the nines
But you're unsteady, you're a little unsteady
Little unsteady, you're a little unsteady

Oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh

I've seen the smiling faces
Trading places, I just don't buy
I've tasted lust and fucked the words
The feigning wise impart
I've walked the earth in search of something I was looking for
Only to come home and find my heart beat in her arms

London don't lie
London don't lie
London don't lie
Don't lie, no no
London don't lie
Don't waste my high
London don't lie
No don't lie no no


She swallows the unsteady and spits you out
Grab at you already, destroy your clout
'Cos you're a...
You're a little unsteady steady
You're a little unsteady steady

Won't tell you that she loves you in all your light
She smells the fear on you dressed up to the nines
But you're a...
You're a little unsteady steady
You're a little unsteady"
You Make Me,You Make Me,Tatiana DeMaria,False,,,,,,,,
Too Much,Too Much,Tatiana DeMaria,True,0.9953,Still,intro,4.0,in chorus/hook section,Still,0.9941,"2 ContributorsToo Much LyricsToo much it ties me up and I can't sleep
Too much it ties me up and I can't sleep
Too much it ties me up
Got a little bit older
Got a little bit bolder
Got a little more drugs than I should

Every empty bottle around me drowning sorrow
'Til it learnt to swim
Trying to quiet these fires and pull the tide in
But my heart burns still

'Cos I am what I am
And you are what you are
We'll remain who we are
And this is how we'll scar
'Cos I am what I am
You created a monster
I'm out to get loud
And this is how I scar

If there's a cure for this
Hell, I don't want it
If there's sanity in peace well I'll just keep running
My heart speaks louder and she says
I am what I am
Still


Too much it ties me up and I can't sleep
Too much it ties me up and I can't sleep
Too much it ties me up
Got a little bit older
Got a little bit bolder
Got a little more drugs than I should

Regret is the bastard son of weakness
I'm out to abort
Won't be blaming my failures
On the demons
That live in my thoughts

'Cos my heart beats still
And my blood runs ill
They tried to censor a pair of my lips
But I am what I am
You created a monster
I'm out to get loud
And this is how I'll scar

If there's a cure for this
Well I don't want it
If there's sanity in peace well I'll just keep running
The light tinted lime ain't pulling me in
'Cos I am what I am
Still


Too much it ties me up and I can't sleep
Too much it ties me up and I can't sleep
Too much it ties me up
Got a little bit older
Got a little bit bolder
Got a little more drugs than I should

The idle mind is the home of the devil
Who falls in love with the cause free rebel
Caught on the leash of a dying decree
No I won't let go
I am what I am no you won't see double
Come rain or shine just too damn stubborn
Bite this damn bullet in half and swallow it
I am what I am

It's not oceans or time zones or circumstance
Or plans it's the feeling you lack on the part of your heart
It's the soul that I ain't touched
That I never will
You're the one not forgotten

If there's a cure for this
Well I don't want it
If there's sanity in peace well I'll just keep running
The light tinted lime ain't pulling me in
'Cos I am what I am
Still


Too much it ties me up and I can't sleep
Too much it ties me up and I can't sleep
Too much it ties me up
Too much it ties me up
Still

Too much it ties me up and I can't sleep
Too much it ties me up and I can't sleep
Too much it ties me up
Got a little bit older
Got a little bit bolder
Got a little more drugs than I should"
