song,artist,total_plays,total_likes,total_comments,total_shares,video_count,music_id,source,tier,lyrics,virality_score,virality_label,best_snippet,hook_line
LUNA BALA (Slowed),Yb Wasg'ood & Ariis,35885338,3005019,28391,159241,2,7489283620709796000,tiktok_trending,-1,,,,,
Камин,DR3AM7NG,17870769,552830,19139,43298,1,7383706183130156000,tiktok_trending,-1,,,,,
made for me,❆ᜊʚ(ᥣᥲᥡᥣᥲ's ᥎ᥱrsі᥆ᥒ)ɞᜊ❆,14635963,1403606,4086,48946,1,7334134121449377000,tiktok_trending,-1,,,,,
Gladdest Done with your ex,GLAD FAMILY,6131408,197357,956,8131,1,7485956774128094000,tiktok_trending,-1,,,,,
Running (To You),Chike & Simi,4943095,120112,1455,74054,1,7081414520505960000,tiktok_trending,-1,,,,,
Ice Spice HANNAH MONTANA,Drill Hype,3591571,272768,4924,15186,1,7452161192979697000,tiktok_trending,-1,,,,,
darkvibes cardigan slowed,dark vibes 🥀,3199687,119671,940,11971,1,7391879296511053000,tiktok_trending,-1,,,,,
gata only remix,𝙡𝙪𝙣𝙮 🥏,1781780,21273,670,1179,1,7377735093617511000,tiktok_trending,-1,,,,,
Giddy Down,Kyler Fisher,1741452,70932,351,1122,1,7487893473954908000,tiktok_trending,-1,,,,,
Naiya Solé No One Coming,Naiya Solé,1224781,129900,2292,19420,1,7608984802796113000,tiktok_trending,-1,"[Verse 1]
I didn't get a soft place to fall
Didn't get a hand to hold
Learned how to read the silence
Before I ever knew hope
They were gone before I understood
What family was supposed to be
So I grew up to talking to myself
Learning how to breathe
Bills don't wait on broken hearts
Pain don't care how old you are
You do what you got to do to live
When living feels too hard

[Chorus]
Ain’t nobody coming to save me
That truth hit hard, but It’s real
Life give me cards I didn't choose
Still had to play the hand I was dealt
I fell down, I got back up again
Learned how to fight for my own name
If I make it out of this alive
Why, cuz I saved myself

[Verse 2]
I wore things, I won't defend, just to keep the lights on
Smiling rooms that didn't care if my soul’s gone
Money came with heavier nights darker ways to cope
It's hard to find a way out when survival is the road
They talk like I had choices, like I wasn’t up against the wall
You don't know what you trade for peace when please cost it all


[Chorus]
Ain’t nobody coming to save me
That truth hit hard, but It’s real
Life give me cards I didn't choose
Still had to play the hand I was dealt
I fell down, I got back up again
Learned how to fight for my own name
If I make it out of this alive
Why, cuz I saved myself

[Bridge]
Don’t mistake my scars for my weakness
All my past for who I am
I was drowning, now I dream and still I restart my own head
I look for light among us, on a sun paling random
And I’m learning how to love the girl who survived what came in

[Chorus]
Ain’t nobody coming to save me
But I’m still standing here
Life gave me cards I didn’t choose
Still found strength to every tears
I fell down, I got up again
Turned up to fight for my own name
If I’m walking out of this alive
It’s cuz I saved myself, (oh)
I’ve been choosing star, but I choosing me, yeah everyday",0.251,Low Viral Potential,"Ain’t nobody coming to save me
That truth hit hard, but It’s real
Life give me cards I didn't choose
Still had to play the hand I was dealt",ain’t nobody coming to save me
Fudge Em,Colter Rayne,857546,66228,1931,20118,1,7590178152580795000,tiktok_trending,-1,,,,,
Lala,Chenjeu_tz,677575,15613,396,639,1,7485414369796098000,tiktok_trending,-1,,,,,
Sorry,Justin Bieber,635266,18233,431,5197,1,6740875941716707000,tiktok_trending,-1,"[Written by Julia Michaels, Justin Tranter, and Justin Bieber]

[Verse 1]
You gotta go and get angry at all of my honesty
You know I try, but I don't do too well with apologies
I hope I don't run out of time, could someone call a referee?
'Cause I just need one more shot at forgiveness
I know you know that I made those mistakes maybe once or twice
And by once or twice, I mean maybe a couple of hundred times
So let me, oh, let me redeem, oh, redeem, oh, myself tonight
'Cause I just need one more shot at second chances

[Chorus]
Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

[Drop]
I'm sorry, yeah
Sorry, yeah
Sorry
Yeah, I know that I let you down
Is it too late to say I'm sorry now?


[Verse 2]
I'll take every single piece of the blame if you want me to
But you know that there is no innocent one in this game for two
I'll go, I'll go and then you go, you go out and spill the truth
Can we both say the words and forget this?

[Chorus]
Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?
I'm not just tryna get you back on me (Oh, no, no)
'Cause I'm missing more than just your body (Your body)
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

[Drop]
I'm sorry, yeah
Sorry, oh
Sorry
Yeah, I know that I let you down (I know I let you down)
Is it too late to say I'm sorry now?
I'm sorry, yeah
Sorry, oh
Sorry
Yeah, I know that I let you down (I know I let you down)
Is it too late to say I'm sorry now?",0.2327,Low Viral Potential,"Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down",is it too late to say i'm sorry now?
shine on,choppy.wav,544105,17702,217,741,1,7516666673882974000,tiktok_trending,-1,"1 Contributorshine on (ft. lyn venti) Lyrics(Intro)
Ooohhhh...
Oooooohhhhhhh....

(Hook)
Shine, shine, shine....
Like the way you're supposed to
Shine, shine, shine....
Like the way I told you to

(Verse)
Walk that line
Take it on the ocean (and you'll be fine)....
Shine, shine shine....
And you'll get a life promotion
Got you feeling emotion and devotion...

(Outro)
Oooooohhhhh...
Shine, shine, shine....",0.1489,Low Viral Potential,"(Outro)
Oooooohhhhh...
Shine, shine, shine....","shine, shine, shine...."
moonlight jersey mix,txkumoon,530408,7323,33,521,1,7611234935944400000,tiktok_trending,-1,,,,,
Too Bold,K Fizzle,523479,22492,557,801,1,7376844034463255000,tiktok_trending,-1,"1 ContributorToo Bold LyricsI took a break from the music I had to get right now a young nigga back in that mode
She think cause she cute and she dragging that wagon a young nigga like me won't tell a hoe no
Face on ten
Brodie done took her down through there
Already know she on go
I been getting bag after bag after bag
Beat a nigga ass how my pockets on swole
Yeen gotta tell me go get to money
I been on the E-way to pickup a load
I had to tell her already got a girl she don't even care the hoes too bold
It is what it is
I'm bringing all of my niggas wit me
I tell em just go wit the flow
Whatever you do
It don't even matter to me
Long as you know what you know

I'm really pressure I come from the mfn' trenches I had to go out and go get it
Double O seven ain playing no games wit them niggas ill put all my bros' on missions
Im from the M but Im out in the A boy this shit gone get major i'm popping' in lynex
I really hate if a nigga get wrong my fye' in my name i'm shooting' Cole Bennett
Yeah
These niggas don't want no problems
Ain going put that on my momma
If its bout bread you know that I got it
Ain finna run out
Got me a lot of it
You know if I shoot and I miss that boy done got lucky he better go play him a lottery
Yeah I can see the animosity niggas ain't use to seeing me popping it
I like a cool bitch I ride wit ridding round bumpin' through the city
Shawty got only fans I cool wit it ain't really trippin' how you get it
But if you my bitch imma show how to get the bag you just gotta listen
Long as you good in that kitchen
I'll put the bag in ya lap
Whatever you want you can get it


I took a break from the music I had to get right now a young nigga back in that mode
She think cause she cute and she dragging that wagon a young nigga like me won't tell a hoe no
Face on ten
Brodie done took her down through there
Already know she on go
I been getting bag after bag after bag
Beat a nigga ass how my pockets on swole
Yeen gotta tell me go get to money
I been on the E-way to pickup a load
I had to tell her already got a girl she don't even care the hoes too bold
It is what it is
I'm bringing all of my niggas wit me
I tell em just go wit the flow
Whatever you do
It don't even matter to me
Long as you know what you know

Yeah yeah
We don't give a fuck bout the fame
Fizzle you really be doing to much
Okay all of the niggas be lame
I can go teach my dog how to take a nigga bitch
I really put em' on game
Most of the tough guy names be on that list
All y'all boys be strange
They finna follow the crowd I cannot get wit it
I like to stand out
I'm having motion
Money been coming like rain you talking you in a damn drought
How yo girl more realer than you
That shit crazy y'all be fanned out
I can go on and on I buy what I want I really do feel like the man now
Feel like the man now
I feel like the man now
I could go on and on and on and on
I feel like the man now
Yeah
Feel like the man now
I could go on and on and on and on
I feel like the man


I took a break from the music I had to get right now a young nigga back in that mode
She think cause she cute and she dragging that wagon a young nigga like me won't tell a hoe no
Face on ten
Brodie done took her down through there
Already know she on go
I been getting bag after bag after bag
Beat a nigga ass how my pockets on swole
Yeen gotta tell me go get to money
I been on the E-way to pickup a load
I had to tell her already got a girl she don't even care the hoes too bold
It is what it is
I'm bringing all of my niggas wit me
I tell em just go wit the flow
Whatever you do
It don't even matter to me
Long as you know what you know",0.1842,Low Viral Potential,"I can go on and on I buy what I want I really do feel like the man now
Feel like the man now
I feel like the man now
I could go on and on and on and on",brodie done took her down through there
Fireball Challenge,🕺🏼Hoodie fam🌏,464675,4945,41,855,1,7293742106441453000,tiktok_trending,-1,,,,,
Dre Dior Sexual therapy,Dre Dior,347508,25420,632,5442,1,7563041948290797000,tiktok_trending,-1,,,,,
Die With A Smile,Lady Gaga & Bruno Mars,315422,4074,145,200,1,7403588534353529000,tiktok_trending,-1,"[""Die With A Smile"" için Türkçe şarkı sözleri]

[Giriş: Bruno Mars]
(Ooh, ooh)

[Bölüm 1: Bruno Mars]
Ben, ben bir rüyadan uyandım
Seninle vedalaşmak zorunda kaldığımız
Ve tüm bunların ne anlama geldiğini bilmiyorum
Ama hayatta kaldığım için fark ettim ki

[Ön Nakarat: Bruno Mars]
Sen nereye gidersen ben de oraya gideceğim
Kimseye yarın vaat edilmedi
Bu yüzden seni her gece son geceymiş gibi seveceğim
Sanki son geceymiş gibi

[Nakarat: Bruno Mars]
Eğer dünyanın sonu gelseydi
Senin yanında olmak isterdim
Eğer parti bitmiş olsaydı
Ve dünyadaki zamanımız sona erseydi
Bir süreliğine sana sarılmak
Ve gülümseyerek ölmek isterdim
Eğer dünyanın sonu gelseydi
Senin yanında olmak isterdim


[Arka Nakarat: Bruno Mars]
(Ooh, ooh)

[Bölüm 2: Lady Gaga, Lady Gaga & Bruno Mars]
Ooh, kaybolduk, bağırarak söylediğimiz kelimelerde kaybolduk
Artık bunu yapmak bile istemiyorum
Çünkü benim için ne ifade ettiğini zaten biliyorsun
Ve aşkımız uğruna savaşmaya değer tek şeydir

[Ön Nakarat: Lady Gaga & Bruno Mars]
Sen nereye gidersen ben de oraya gideceğim
Kimseye yarın vaat edilmedi
Bu yüzden seni her gece son geceymiş gibi seveceğim
Sanki son geceymiş gibi

[Nakarat: Lady Gaga & Bruno Mars, Lady Gaga]
Eğer dünyanın sonu gelseydi
Senin yanında olmak isterdim
Eğer parti bitmiş olsaydı
Ve dünyadaki zamanımız sona erseydi
Bir süreliğine sana sarılmak
Ve gülümseyerek ölmek isterdim
Eğer dünyanın sonu gelseydi
Senin yanında olmak isterdim

[Köprü: Bruno Mars, Lady Gaga, Bruno Mars & Lady Gaga]
Hemen yanında
Yanında
Hemen yanında
Oh-oh


[Nakarat: Lady Gaga, Lady Gaga & Bruno Mars, Bruno Mars]
Eğer dünyanın sonu gelseydi
Senin yanında olmak isterdim
Eğer parti bitmiş olsaydı
Ve dünyadaki zamanımız sona erseydi
Bir süreliğine sana sarılmak
Ve gülümseyerek ölmek isterdim
Eğer dünyanın sonu gelseydi
Senin yanında olmak isterdim
Eğer dünyanın sonu gelseydi
Senin yanında olmak isterdim

[Çıkış: Bruno Mars, Lady Gaga & Bruno Mars]
(Ooh, ooh)
Senin yanında olmak isterdim",0.1494,Low Viral Potential,"Ve gülümseyerek ölmek isterdim
Eğer dünyanın sonu gelseydi
Senin yanında olmak isterdim
Hemen yanında",senin yanında olmak isterdim
Descer,Kew & DJ LK da Escócia,268003,2806,42,152,1,7454797349329620000,tiktok_trending,-1,,,,,
Love Test by Chris El Greco,Chris El Greco,258289,20522,166,59,1,6961803188605423000,tiktok_trending,-1,,,,,
Cycle Syncing Frequency,Still Haven,257151,11542,617,1000,1,7579661510428428000,tiktok_trending,-1,,,,,
Destiny,𝐉𝐔𝐋𝐈𝐎 𝐀𝐌𝐓𝐀𝐋𝐀𝐎,246316,3702,156,151,1,7132461764281011000,tiktok_trending,-1,"[Verse 1]
We were good, we were gold
Kinda dream that can't be sold
We were right 'til we weren't
Built a home and watched it burn

[Pre-Chorus]
Mm, I didn't wanna leave you, I didn't wanna lie
Started to cry, but then remembered I

[Chorus]
I can buy myself flowers
Write my name in the sand
Talk to myself for hours
Say things you don't understand
I can take myself dancing
And I can hold my own hand
Yeah, I can love me better than you can

[Post-Chorus]
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby

[Verse 2]
Paint my nails cherry-red
Match the roses that you left
No remorse, no regret
I forgive every word you said


[Pre-Chorus]
Ooh, I didn't wanna leave you, baby, I didn't wanna fight
Started to cry, but then remembered I

[Chorus]
I can buy myself flowers
Write my name in the sand
Talk to myself for hours, yeah
Say things you don't understand
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than you can

[Post-Chorus]
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I (Ooh, I)

[Bridge]
I didn't wanna leave you, I didn't wanna fight
Started to cry, but then remembered I

[Chorus]
I can buy myself flowers (Uh-huh)
Write my name in the sand
Talk to myself for hours (Yeah)
Say things you don't understand (You never will)
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than
Yeah, I can love me better than you can


[Post-Chorus]
Can love me better, I can love me better, baby (Uh)
Can love me better, I can love me better, baby (Than you can)
Can love me better, I can love me better, baby
Can love me better, I",0.2717,Low Viral Potential,"Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I (Ooh, I)","can love me better, i can love me better, baby"
The Fate of Ophelia,Taylor Swift,226577,17697,339,1462,1,7556815852168759000,tiktok_trending,-1,"[Verse 1]
I heard you calling on the megaphone
You wanna see me all alone
As legend has it, you are quite the pyro
You light the match to watch it blow

[Pre-Chorus]
And if you'd never come for me
I might've drowned in the melancholy
I swore my loyalty to me (Me), myself (Myself), and I (I)
Right before you lit my sky up
[Chorus]
All that time
I sat alone in my tower
You were just honing your powers
Now I can see it all (See it all)
Late one night
You dug me out of my grave and
Saved my heart from the fate of
Ophelia (Ophеlia)

[Post-Chorus]
Keep it one hundred on the land (Land), thе sea (Sea), the sky
Pledge allegiance to your hands, your team, your vibes
Don't care where the hell you've been (Been) 'cause now (Now) you're mine
It's 'bout to be the sleepless night you've been dreaming of
The fate of Ophelia


[Verse 2]
The eldest daughter of a nobleman
Ophelia lived in fantasy
But love was a cold bed full of scorpions
The venom stole her sanity

[Pre-Chorus]
And if you'd never come for me (Come for me)
I might've lingered in purgatory
You wrap around me like a chain (A chain), a crown (A crown), a vine (A vine)
Pulling me into the fire
[Chorus]
All that time
I sat alone in my tower
You were just honing your powers
Now I can see it all (See it all)
Late one night
You dug me out of my grave and
Saved my heart from the fate of
Ophelia (Ophelia)

[Post-Chorus]
Keep it one hundred on the land (Land), the sea (The sea), the sky
Pledge allegiance to your hands, your team, your vibes
Don't care where the hell you've been (Been) 'cause now (Now) you're mine
It's 'bout to be the sleepless night you've been dreaming of
The fate of Ophelia


[Bridge]
'Tis locked inside my memory
And only you possess the key
No longer drowning and deceived
All because you came for me
Locked inside my memory
And only you possess the key
No longer drowning and deceived
All because you came for me
[Chorus]
All that time
I sat alone in my tower
You were just honing your powers
Now I can see it all (I can see it all)
Late one night
You dug me out of my grave and
Saved my heart from the fate of
Ophelia (Ophelia)

[Post-Chorus]
Keep it one hundred on the land (Land), the sea (The sea), the sky
Pledge allegiance to your hands (Your hands), your team, your vibes
Don't care where the hell you've been (You've been) 'cause now ('Cause now) you're mine
It's 'bout to be the sleepless night you've been dreaming of
The fate of Ophelia


[Outro]
You saved my heart from the fate of Ophelia",0.2636,Low Viral Potential,"It's 'bout to be the sleepless night you've been dreaming of
The fate of Ophelia
You saved my heart from the fate of Ophelia",all that time
Amaphupho Ame,Djeddie bw & Cardinal X25,154168,7171,79,488,1,7616437630478436000,tiktok_trending,-1,,,,,
Highest,Samara Cyn,119480,10255,110,368,1,7619052189680650000,tiktok_trending,-1,"[Verse 1]
Walking impatient
Fast like my mind
Anticipation
God, give me time
Caught in a circus
Chaos at home
God keep me gracious
God keep me whole

[Chorus]
That's the price of peace, damn
Half what's left of me, man
Bitches will hate for free
That's the price of peace, damn
Half what's left of me, man
Bitches will hate for free

[Verse 2]
Tire screech
Drifting through the air
Could be the highest in the room
Avoiding ceiling fans
Bitch, just give me space
Enough to spread the hand
Patiently waiting for the other side
Fucking on the plans


[Verse 3]
Always knеw a bitch like me was gon' make it
Look good еven when I had to fake it
Walk in every room like a million dollar baby
Came down for me to grab it, I ain't never had to chase it
Baby
I was broke, I was poor, I had money on the low
Made a bag, ran it up, then I lost it on the tour
Had me feeling like I should've kept that corporate gig at home
When I finally made the call, man, they ain't pick up the phone
God do it when I won't, I do shit that you don't
I tell it when to move, it don't move till I say go
This shit was made for me, I'm gon' freak it when I want
Man, we should make a toast, bitch, I feel like Shawty Lo

[Chorus]
That's the price of peace, damn
Half what's left of me, man
Bitches will hate for free
That's the price of peace, damn
Half what's left of me, man
Bitches will hate for free",0.2503,Low Viral Potential,"That's the price of peace, damn
Half what's left of me, man
Bitches will hate for free
That's the price of peace, damn","that's the price of peace, damn"
